rank,e15,e16,e17,e18,e19,e20,f64,agreement_residual,universe,intersection,denominator,local_cap,pattern_count,label_sets,cell_cap,selected
368,31,12,6,3,1,0,24,100239,294912,32767,384475617,51,238141440,38567100,468405661261824000,0
369,31,13,6,3,0,0,24,100239,294912,32767,384475617,51,238141440,38567100,468405661261824000,0
370,31,13,5,2,0,0,27,100239,196608,32767,3605602785,3,141456015360,1107568,470016468060733440,0
371,31,15,2,0,0,0,25,100239,262144,32767,1458184673,12,2838757376,13884156,472965003054415872,0
372,30,14,1,0,0,0,27,133007,229376,65535,2658705889,5,18249154560,5379616,490867219287244800,0
373,29,12,6,1,0,0,27,165775,262144,98303,1711808993,10,2222653440,23535820,523119712862208000,0
374,31,11,5,2,1,0,27,100239,196608,32767,3605602785,3,158919720960,1107568,528043192512675840,0
375,30,14,4,2,0,0,26,133007,262144,65535,511255009,34,868589568,18156204,536189839221915648,0
376,31,14,6,2,1,0,24,100239,294912,32767,384475617,51,282009600,38567100,554690914652160000,0
377,29,14,4,0,0,0,27,165775,262144,98303,1711808993,10,2384363520,23535820,561179506212864000,0
378,31,8,4,2,1,0,27,100239,196608,32767,3605602785,3,171377164288,1107568,569435589288394752,0
379,30,14,5,2,0,0,26,133007,262144,65535,511255009,34,930631680,18156204,574489113452052480,0
380,31,13,5,2,1,0,26,100239,229376,32767,2531893729,6,23576002560,4272048,604306887506657280,0
381,30,14,3,1,0,0,27,133007,229376,65535,2658705889,5,22583328768,5379616,607448183867965440,0
382,32,7,2,0,0,0,0,67471,1048576,-1,4553384417,15,41098260198195200,1,616473902972928000,0
383,31,12,6,3,0,0,24,100239,294912,32767,384475617,51,317521920,38567100,624540881682432000,0
384,30,13,5,2,0,0,27,133007,229376,65535,2658705889,5,23576002560,5379616,634149202939084800,0
385,28,13,5,2,0,0,27,198543,294912,131071,764912097,26,260029440,94143280,636480633832243200,0
386,31,15,4,0,0,0,25,100239,262144,32767,1458184673,12,3860398080,13884156,643180429977845760,0
387,31,14,1,0,0,0,27,100239,196608,32767,3605602785,3,194657648640,1107568,646789747766722560,0
388,30,14,4,1,0,0,27,133007,229376,65535,2658705889,5,24320507904,5379616,654174967242424320,0
389,29,13,5,2,0,0,27,165775,262144,98303,1711808993,10,2947000320,23535820,693600690714624000,0
390,30,12,5,2,1,0,27,133007,229376,65535,2658705889,5,26195558400,5379616,704610225487872000,0
391,32,5,0,0,0,0,0,67471,1048576,-1,4553384417,15,47329014888529920,1,709935223327948800,0
392,30,14,0,0,0,0,26,133007,262144,65535,511255009,34,1203240960,18156204,742773803251138560,0
393,31,13,4,2,0,0,27,100239,196608,32767,3605602785,3,226329624576,1107568,752026348897173504,0
394,31,14,3,1,0,0,27,100239,196608,32767,3605602785,3,240888840192,1107568,800402312861319168,0
395,28,12,6,1,0,0,27,198543,294912,131071,764912097,26,347289600,94143280,850069533401088000,0
396,31,13,6,1,0,0,26,100239,229376,32767,2531893729,6,33339801600,4272048,854575396474060800,0
397,30,10,5,2,1,0,27,133007,229376,65535,2658705889,5,31783944192,5379616,854927073591951360,0
398,32,10,2,0,0,0,0,67471,1048576,-1,4553384417,15,57013784820056064,1,855206772300840960,0
399,31,14,4,1,0,0,27,100239,196608,32767,3605602785,3,259418750976,1107568,861971721542959104,0
400,31,14,6,1,0,0,25,100239,262144,32767,1458184673,12,5264179200,13884156,877064222697062400,0
401,31,15,1,0,0,0,24,100239,294912,32767,384475617,51,467927040,38567100,920376036163584000,0
402,31,15,3,0,0,0,25,100239,262144,32767,1458184673,12,5576130560,13884156,929038398856888320,0
403,31,13,4,2,1,0,26,100239,229376,32767,2531893729,6,37721604096,4272048,966891020010651648,0
404,29,14,2,0,0,0,27,165775,262144,98303,1711808993,10,4132896768,23535820,972711144102297600,0
405,30,13,4,2,0,0,27,133007,229376,65535,2658705889,5,37721604096,5379616,1014638724702535680,0
406,28,13,4,2,0,0,27,198543,294912,131071,764912097,26,416047104,94143280,1018369014131589120,0
407,31,12,4,2,1,0,27,100239,196608,32767,3605602785,3,314346700800,1107568,1044481040134963200,0
408,32,10,1,0,0,0,0,67471,1048576,-1,4553384417,15,69812797738844160,1,1047191966082662400,0
409,30,14,4,0,0,0,27,133007,229376,65535,2658705889,5,40534179840,5379616,1090291612070707200,0
410,30,13,6,2,0,0,26,133007,262144,65535,511255009,34,1786060800,18156204,1102554864200908800,0
411,29,13,4,2,0,0,27,165775,262144,98303,1711808993,10,4715200512,23535820,1109761105143398400,0
412,31,12,6,1,0,0,26,100239,229376,32767,2531893729,6,44453068800,4272048,1139433861965414400,0
413,32,9,0,0,0,0,0,67471,1048576,-1,4553384417,15,78422190378188800,1,1176332855672832000,0
414,29,12,5,2,1,0,27,165775,262144,98303,1711808993,10,5239111680,23535820,1233067894603776000,0
415,29,14,3,0,0,0,27,165775,262144,98303,1711808993,10,5313724416,23535820,1250628613845811200,0
416,32,6,1,0,0,0,0,67471,1048576,-1,4553384417,15,84359586722611200,1,1265393800839168000,0
417,32,8,2,0,0,0,0,67471,1048576,-1,4553384417,15,86460464891953152,1,1296906973379297280,0
418,30,13,6,0,0,0,26,133007,262144,65535,511255009,34,2222653440,18156204,1372068275450019840,0
419,31,14,2,1,0,0,26,100239,229376,32767,2531893729,6,53530853376,4272048,1372118250619404288,0
420,31,10,5,2,0,0,27,100239,196608,32767,3605602785,3,416080723968,1107568,1382513085851369472,0
421,31,14,4,0,0,0,27,100239,196608,32767,3605602785,3,432364584960,1107568,1436619535904931840,0
422,32,9,2,0,0,0,0,67471,1048576,-1,4553384417,15,96067183213281280,1,1441007748199219200,0
423,30,11,5,2,1,0,27,133007,229376,65535,2658705889,5,55010672640,5379616,1479681473524531200,0
424,31,14,4,2,0,0,25,100239,262144,32767,1458184673,12,9264955392,13884156,1543633031946829824,0
425,31,14,5,0,0,0,26,100239,229376,32767,2531893729,6,61766369280,4272048,1583213366099312640,0
426,31,14,5,2,0,0,25,100239,262144,32767,1458184673,12,9926737920,13884156,1653892534228746240,0
427,31,0,0,0,0,0,26,100239,229376,32767,2531893729,6,68719476736,4272048,1761437418906451968,0
428,31,15,5,0,0,0,24,100239,294912,32767,384475617,51,900759552,38567100,1771723869614899200,0
429,31,10,5,2,1,0,26,100239,229376,32767,2531893729,6,69346787328,4272048,1777516824666046464,0
430,31,13,6,2,0,0,25,100239,262144,32767,1458184673,12,10716364800,13884156,1785452167633305600,0
431,32,6,0,0,0,0,0,67471,1048576,-1,4553384417,15,123727393859829760,1,1855910907897446400,0
432,30,14,2,0,0,0,27,133007,229376,65535,2658705889,5,70259245056,5379616,1889838794255892480,0
433,31,14,5,1,0,0,26,100239,229376,32767,2531893729,6,77207961600,4272048,1979016707624140800,0
434,28,12,5,2,1,0,27,198543,294912,131071,764912097,26,818611200,94143280,2003735328731136000,0
435,31,12,5,2,0,0,27,100239,196608,32767,3605602785,3,628693401600,1107568,2088962080269926400,0
436,30,12,4,2,1,0,27,133007,229376,65535,2658705889,5,78586675200,5379616,2113830676463616000,0
437,31,14,0,0,0,0,25,100239,262144,32767,1458184673,12,12834570240,13884156,2138366104861409280,0
438,30,12,6,2,0,0,26,133007,262144,65535,511255009,34,3572121600,18156204,2205109728401817600,0
439,31,15,5,1,0,0,24,100239,294912,32767,384475617,51,1125949440,38567100,2214654837018624000,0
440,31,13,6,0,0,0,25,100239,262144,32767,1458184673,12,13335920640,13884156,2221896030832558080,0
441,31,12,6,2,0,0,25,100239,262144,32767,1458184673,12,14288486400,13884156,2380602890177740800,0
442,32,8,0,0,0,0,0,67471,1048576,-1,4553384417,15,158804935515832320,1,2382074032737484800,0
443,30,13,5,2,1,0,26,133007,262144,65535,511255009,34,3929333760,18156204,2425620701241999360,0
444,30,14,3,0,0,0,27,133007,229376,65535,2658705889,5,90333315072,5379616,2429792735471861760,0
445,31,14,2,0,0,0,27,100239,196608,32767,3605602785,3,749431947264,1107568,2490140528901881856,0
446,32,9,1,0,0,0,0,67471,1048576,-1,4553384417,15,176449928350924800,1,2646748925263872000,0
447,31,12,5,2,1,0,26,100239,229376,32767,2531893729,6,104782233600,4272048,2685808388918476800,0
448,31,15,3,1,0,0,24,100239,294912,32767,384475617,51,1394032640,38567100,2741953607737344000,0
449,30,12,6,0,0,0,26,133007,262144,65535,511255009,34,4445306880,18156204,2744136550900039680,0
450,32,7,0,0,0,0,0,67471,1048576,-1,4553384417,15,184522800889856000,1,2767842013347840000,0
451,29,10,5,2,1,0,27,165775,262144,98303,1711808993,10,12224593920,23535820,2877158420742144000,0
452,32,7,1,0,0,0,0,67471,1048576,-1,4553384417,15,193748940934348800,1,2906234114015232000,0
453,31,13,5,0,0,0,27,100239,196608,32767,3605602785,3,880170762240,1107568,2924546912377896960,0
454,31,12,6,0,0,0,25,100239,262144,32767,1458184673,12,17781227520,13884156,2962528041110077440,0
455,31,9,4,2,1,0,27,100239,196608,32767,3605602785,3,899730112512,1107568,2989536843764072448,0
456,31,14,4,2,1,0,24,100239,294912,32767,384475617,51,1544159232,38567100,3037240919339827200,0
457,30,14,2,1,0,0,26,133007,262144,65535,511255009,34,5018517504,18156204,3097985737726623744,0
458,31,11,5,2,0,0,27,100239,196608,32767,3605602785,3,953518325760,1107568,3168259155076055040,0
459,31,14,3,0,0,0,27,100239,196608,32767,3605602785,3,963555360768,1107568,3201609251445276672,0
460,31,14,5,2,1,0,24,100239,294912,32767,384475617,51,1654456320,38567100,3254186699292672000,0
461,31,14,6,2,0,0,24,100239,294912,32767,384475617,51,1692057600,38567100,3328145487912960000,0
462,31,8,4,2,0,0,27,100239,196608,32767,3605602785,3,1028262985728,1107568,3416613535730368512,0
463,30,13,6,1,0,0,26,133007,262144,65535,511255009,34,5556633600,18156204,3430170688625049600,0
464,30,8,4,2,1,0,27,133007,229376,65535,2658705889,5,128532873216,5379616,3457287506393825280,0
465,31,13,6,2,1,0,24,100239,294912,32767,384475617,51,1786060800,38567100,3513042459463680000,0
466,31,11,4,2,1,0,27,100239,196608,32767,3605602785,3,1059464806400,1107568,3520287950084505600,0
467,30,14,5,0,0,0,26,133007,262144,65535,511255009,34,5790597120,18156204,3574598928146104320,0
468,31,13,5,2,0,0,26,100239,229376,32767,2531893729,6,141456015360,4272048,3625841325039943680,0
469,31,13,5,1,0,0,27,100239,196608,32767,3605602785,3,1100213452800,1107568,3655683640472371200,0
470,29,11,5,2,1,0,27,165775,262144,98303,1711808993,10,15717335040,23535820,3699203683811328000,0
471,29,12,4,2,1,0,27,165775,262144,98303,1711808993,10,15717335040,23535820,3699203683811328000,0
472,32,8,1,0,0,0,0,67471,1048576,-1,4553384417,15,247029899691294720,1,3705448495369420800,0
473,30,13,4,2,1,0,26,133007,262144,65535,511255009,34,6286934016,18156204,3880993121987198976,0
474,31,13,5,2,1,0,25,100239,262144,32767,1458184673,12,23576002560,13884156,3927994768793272320,0
475,30,13,5,0,0,0,27,133007,229376,65535,2658705889,5,146695127040,5379616,3945817262732083200,0
476,28,13,5,0,0,0,27,198543,294912,131071,764912097,26,1617960960,94143280,3960323943845068800,0
477,31,11,5,2,1,0,26,100239,229376,32767,2531893729,6,158919720960,4272048,4073476056526356480,0
478,31,14,6,0,0,0,24,100239,294912,32767,384475617,51,2105671680,38567100,4141692162736128000,0
479,30,12,5,2,0,0,27,133007,229376,65535,2658705889,5,157173350400,5379616,4227661352927232000,0
480,29,13,5,0,0,0,27,165775,262144,98303,1711808993,10,18336890880,23535820,4315737631113216000,0
481,31,8,4,2,1,0,26,100239,229376,32767,2531893729,6,171377164288,4272048,4392788831653330944,0
482,30,14,5,1,0,0,26,133007,262144,65535,511255009,34,7238246400,18156204,4468248660182630400,0
483,31,15,4,1,0,0,24,100239,294912,32767,384475617,51,2316238848,38567100,4555861379009740800,0
484,31,12,6,2,1,0,24,100239,294912,32767,384475617,51,2381414400,38567100,4684056612618240000,0
485,30,13,5,1,0,0,27,133007,229376,65535,2658705889,5,183368908800,5379616,4932271578415104000,0
486,28,13,5,1,0,0,27,198543,294912,131071,764912097,26,2022451200,94143280,4950404929806336000,0
487,31,14,1,0,0,0,26,100239,229376,32767,2531893729,6,194657648640,4272048,4989520911343288320,0
488,31,10,4,2,1,0,27,100239,196608,32767,3605602785,3,1525629321216,1107568,5069214648121688064,0
489,30,10,5,2,0,0,27,133007,229376,65535,2658705889,5,190703665152,5379616,5129562441551708160,0
490,29,13,5,1,0,0,27,165775,262144,98303,1711808993,10,22921113600,23535820,5394672038891520000,0
491,31,13,6,1,0,0,25,100239,262144,32767,1458184673,12,33339801600,13884156,5554740077081395200,0
492,31,15,2,0,0,0,24,100239,294912,32767,384475617,51,2838757376,38567100,5583614619392409600,0
493,31,13,0,0,0,0,27,100239,196608,32767,3605602785,3,1706997841920,1107568,5671848557338951680,0
494,31,13,4,2,0,0,26,100239,229376,32767,2531893729,6,226329624576,4272048,5801346120063909888,0
495,28,12,4,2,1,0,27,198543,294912,131071,764912097,26,2455833600,94143280,6011205986193408000,0
496,31,14,3,1,0,0,26,100239,229376,32767,2531893729,6,240888840192,4272048,6174532127787319296,0
497,31,12,4,2,0,0,27,100239,196608,32767,3605602785,3,1886080204800,1107568,6266886240809779200,0
498,31,13,4,2,1,0,25,100239,262144,32767,1458184673,12,37721604096,13884156,6284791630069235712,0
499,31,14,4,1,0,0,26,100239,229376,32767,2531893729,6,259418750976,4272048,6649496137617113088,0
500,30,12,6,1,0,0,26,133007,262144,65535,511255009,34,11113267200,18156204,6860341377250099200,0
501,29,12,5,2,0,0,27,165775,262144,98303,1711808993,10,31434670080,23535820,7398407367622656000,0
502,31,12,6,1,0,0,25,100239,262144,32767,1458184673,12,44453068800,13884156,7406320102775193600,0
503,31,15,4,0,0,0,24,100239,294912,32767,384475617,51,3860398080,38567100,7593102298349568000,0
504,30,13,0,0,0,0,27,133007,229376,65535,2658705889,5,284499640320,5379616,7652494085298585600,0
505,28,13,0,0,0,0,27,198543,294912,131071,764912097,26,3137863680,94143280,7680628254729830400,0
506,31,12,4,2,1,0,26,100239,229376,32767,2531893729,6,314346700800,4272048,8057425166755430400,0
507,29,13,0,0,0,0,27,165775,262144,98303,1711808993,10,35562455040,23535820,8369915405795328000,0
508,31,10,5,0,0,0,27,100239,196608,32767,3605602785,3,2588946726912,1107568,8602303645297410048,0
509,30,11,5,2,0,0,27,133007,229376,65535,2658705889,5,330064035840,5379616,8878088841147187200,0
510,31,14,2,1,0,0,25,100239,262144,32767,1458184673,12,53530853376,13884156,8918768629026127872,0
511,28,11,5,2,1,0,27,198543,294912,131071,764912097,26,3667378176,94143280,8976734272715489280,0
512,28,10,5,2,1,0,27,198543,294912,131071,764912097,26,3929333760,94143280,9617929577909452800,0
513,30,11,4,2,1,0,27,133007,229376,65535,2658705889,5,366737817600,5379616,9864543156830208000,0
514,31,13,2,1,0,0,27,100239,196608,32767,3605602785,3,3051258642432,1107568,10138429296243376128,0
515,31,14,5,0,0,0,25,100239,262144,32767,1458184673,12,61766369280,13884156,10290886879645532160,0
516,31,14,6,1,0,0,24,100239,294912,32767,384475617,51,5264179200,38567100,10354230406840320000,0
517,32,10,0,0,0,0,1,67471,1015808,-1,4553351649,15,21719537074307072,32,10425377795667394560,0
518,31,10,5,2,0,0,26,100239,229376,32767,2531893729,6,416080723968,4272048,10665100947996278784,0
519,31,10,5,1,0,0,27,100239,196608,32767,3605602785,3,3236183408640,1107568,10752879556621762560,0
520,31,15,3,0,0,0,24,100239,294912,32767,384475617,51,5576130560,38567100,10967814430949376000,0
521,31,14,4,0,0,0,26,100239,229376,32767,2531893729,6,432364584960,4272048,11082493562695188480,0
522,30,14,1,0,0,0,26,133007,262144,65535,511255009,34,18249154560,18156204,11265402682642268160,0
523,31,0,0,0,0,0,25,100239,262144,32767,1458184673,12,68719476736,13884156,11449343222891937792,0
524,31,10,5,2,1,0,25,100239,262144,32767,1458184673,12,69346787328,13884156,11553859360329302016,0
525,28,12,5,2,0,0,27,198543,294912,131071,764912097,26,4911667200,94143280,12022411972386816000,0
526,30,12,4,2,0,0,27,133007,229376,65535,2658705889,5,471520051200,5379616,12682984058781696000,0
527,31,14,5,1,0,0,25,100239,262144,32767,1458184673,12,77207961600,13884156,12863608599556915200,0
528,31,12,5,0,0,0,27,100239,196608,32767,3605602785,3,3911870054400,1107568,12997986277235097600,0
529,30,13,2,1,0,0,27,133007,229376,65535,2658705889,5,508543107072,5379616,13678833177471221760,0
530,28,13,2,1,0,0,27,198543,294912,131071,764912097,26,5608931328,94143280,13729123005329571840,0
531,30,14,3,1,0,0,26,133007,262144,65535,511255009,34,22583328768,18156204,13940935819769806848,0
532,30,9,4,2,1,0,27,133007,229376,65535,2658705889,5,531658702848,5379616,14300598321901731840,0
533,30,0,0,0,0,0,27,133007,229376,65535,2658705889,5,532575944704,5379616,14325270366723768320,0
534,30,13,5,2,0,0,26,133007,262144,65535,511255009,34,23576002560,18156204,14553724207451996160,0
535,29,13,2,1,0,0,27,165775,262144,98303,1711808993,10,63567888384,23535820,14961223787859148800,0
536,30,14,4,1,0,0,26,133007,262144,65535,511255009,34,24320507904,18156204,15013315498213638144,0
