e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
5,2,0,0,0,0,28800,0,,0,55317304202779648,1593138361040053862400,945,0
6,2,0,0,0,0,835200,0,,0,29065024242773072,24275108247564069734400,1128,0
7,2,0,0,0,0,15590400,0,,0,15033633229712220,234380355504505394688000,1283,0
8,2,0,0,0,0,210470400,0,,0,7648690591102740,1609822968185630128896000,1385,0
9,2,0,0,0,0,2188892160,0,,0,3824345295922820,8371079435378340663091200,1461,0
10,2,0,0,0,0,18240768000,0,,0,1877405872770852,34245324967050628494336000,1510,0
11,2,0,0,0,0,125079552000,0,,0,903936161090862,113063930065844850253824000,1553,0
12,2,0,0,0,0,719207424000,0,,0,426384981712330,306659244329611968337920000,1587,0
13,2,0,0,0,0,3516125184000,0,,0,196793068513920,691949064238431566561280000,1610,0
14,2,0,0,0,0,14767725772800,0,,0,88749815225840,1310632933641875220529152000,1621,0
15,2,0,0,0,0,53700820992000,0,,0,39049918704796,2097012694118402487877632000,1630,0
16,2,0,0,0,0,170052599808000,0,,0,16735679446836,2845945799487773119807488000,1639,0
17,2,0,0,0,0,470914891776000,0,,0,6973199770110,3283783615073778729615360000,1641,0
18,2,0,0,0,0,1143650451456000,0,,0,2818953098710,3223896983972981631221760000,1640,0
19,2,0,0,0,0,2439787629772800,0,,0,1103068603875,2691253134524977879449600000,1637,0
20,2,0,0,0,0,4574601805824000,0,,0,416714805913,1906304303643207473037312000,1629,0
21,2,0,0,0,0,7534638268416000,0,,0,151532656696,1141743754056425627713536000,1619,0
22,2,0,0,0,0,10883366387712000,0,,0,52860229080,575297240416028417064960000,1605,0
23,2,0,0,0,0,13747410173952000,0,,0,17620076360,242230417017275122974720000,1580,0
24,2,0,0,0,0,15122151191347200,0,,0,5586853480,84485243008464250208256000,1537,0
25,2,0,0,0,0,14402048753664000,0,,0,1676056044,24138640859561214345216000,1501,0
26,2,0,0,0,0,11783494434816000,0,,0,472733756,5570455582975664848896000,1442,0
27,2,0,0,0,0,8197213519872000,0,,0,124403620,1019763035785018736640000,1367,0
28,2,0,0,0,0,4781707886592000,0,,0,30260340,144696106428955361280000,1256,0
29,2,0,0,0,0,2295219785564160,0,,0,6724520,15434251352421905203200,1099,0
30,2,0,0,0,0,882776840601600,0,,0,1344904,1187250104032454246400,927,0
31,2,0,0,0,0,261563508326400,0,,0,237336,62078436812154470400,746,0
32,2,0,0,0,0,56049323212800,1,,0,,,,0
6,3,0,0,0,0,4480,0,,0,29065024205330912,130211308439882485760,779,0
7,3,0,0,0,0,259840,0,,0,15033633209653920,3906339253196474572800,1007,0
8,3,0,0,0,0,7275520,0,,0,7648690580702140,55648201293710033612800,1196,0
9,3,0,0,0,0,130959360,0,,0,3824345290722520,500833811692035156787200,1332,0
10,3,0,0,0,0,1702471680,0,,0,1877405870274708,3196230326008444190269440,1413,0
11,3,0,0,0,0,17024716800,0,,0,903936159946796,15389257128373704967372800,1484,0
12,3,0,0,0,0,136197734400,0,,0,426384981214910,58072668423657301499904000,1528,0
13,3,0,0,0,0,895013683200,0,,0,196793068310430,176132488896747155275776000,1569,0
14,3,0,0,0,0,4922575257600,0,,0,88749815148320,436877644165693706207232000,1598,0
15,3,0,0,0,0,22972017868800,0,,0,39049918677664,897055429638484275442483200,1614,0
16,3,0,0,0,0,91888071475200,0,,0,16735679438268,1537809308409604970092953600,1625,0
17,3,0,0,0,0,317431519641600,0,,0,6973199767730,2213513399034986052845568000,1633,0
18,3,0,0,0,0,952294558924800,0,,0,2818953098150,2684473697232452692869120000,1636,0
19,3,0,0,0,0,2490616538726400,0,,0,1103068603770,2747320907899400182038528000,1638,0
20,3,0,0,0,0,5692837802803200,0,,0,416714805899,2372289800009625126096076800,1635,0
21,3,0,0,0,0,11385675605606400,0,,0,151532656695,1725301672784990828494848000,1627,0
22,3,0,0,0,0,19924932309811200,0,,0,52860229080,1053236486300113563549696000,1616,0
23,3,0,0,0,0,30473425885593600,0,,0,17620076360,536944091054959855927296000,1602,0
24,3,0,0,0,0,40631234514124800,0,,0,5586853480,227000753941934248034304000,1575,0
25,3,0,0,0,0,47046692595302400,0,,0,1676056044,78852893474566633527705600,1536,0
26,3,0,0,0,0,47046692595302400,0,,0,472733756,22240559697954691507814400,1495,0
27,3,0,0,0,0,40325736510259200,0,,0,124403620,5016667601042411618304000,1434,0
28,3,0,0,0,0,29327808371097600,0,,0,30260340,887469452764259549184000,1361,0
29,3,0,0,0,0,17851709443276800,0,,0,6724520,120044177185503707136000,1243,0
30,3,0,0,0,0,8925854721638400,0,,0,1344904,12004417718550370713600,1080,0
31,3,0,0,0,0,3570341888655360,0,,0,237336,847370662485908520960,905,0
